Model,Accuracy (%),AUC,Sensitivity (%),Specificity (%),Recall (%)
MobileNetV3-Small,97.52475247524752,0.9970652387020881,99.00990099009901,96.03960396039604,99.00990099009901
ResNet50,97.89603960396039,0.9940508283501618,97.77227722772277,98.01980198019803,97.77227722772277
EfficientNet-B0,96.53465346534654,0.9968814331928242,98.51485148514851,94.55445544554455,98.51485148514851
MobileNetV2,96.9059405940594,0.9972306636604253,99.00990099009901,94.80198019801979,99.00990099009901
CustomCNN,94.18316831683168,0.9818706499362807,97.52475247524752,90.84158415841584,97.52475247524752
