Model,Model Size (MB),Inference Time (ms),Memory Usage (MB),Energy (J/image),Parameters (M)
MobileNetV3-Small,5.927133560180664,11.141060602546919,1492.0625338412747,0.033423181807640756,1.5
ResNet50,89.99640846252441,13.051239275696254,904.7664710318688,0.03915371782708876,23.5
EfficientNet-B0,15.586088180541992,16.257353348307092,925.7439907564975,0.04877206004492127,5.3
MobileNetV2,8.729166030883789,10.726319091154798,927.3038269647277,0.03217895727346439,3.5
VGG16,512.2057209014893,2.9802248619570593,997.7846437964109,0.008940674585871177,138.0
CustomCNN,6.654168128967285,2.1419501540684465,934.4996664217203,0.006425850462205339,5.0
